Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,Imaging\Imaging\Imaging.csproj,File,Imaging\Imaging\Imaging.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Imaging\Imaging\Imaging.csproj,File,Imaging\Imaging\Imaging.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net8.0-windows"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Imaging\Imaging\Imaging.csproj,File,Imaging\Imaging\Properties\Resources.Designer.cs,86,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""nerds_3"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Imaging\Imaging\Imaging.csproj,File,Imaging\Imaging\Properties\Resources.Designer.cs,85,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap nerds_3
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Imaging\Imaging\Imaging.csproj,File,Imaging\Imaging\Properties\Resources.Designer.cs,76,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""nerds_2"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Imaging\Imaging\Imaging.csproj,File,Imaging\Imaging\Properties\Resources.Designer.cs,75,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap nerds_2
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Imaging\Imaging\Imaging.csproj,File,Imaging\Imaging\Properties\Resources.Designer.cs,66,12,T:System.Drawing.Bitmap,,,,,"get {                  object obj = ResourceManager.GetObject(""nerds_1"", resourceCulture);                  return ((System.Drawing.Bitmap)(obj));              }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Imaging\Imaging\Imaging.csproj,File,Imaging\Imaging\Properties\Resources.Designer.cs,65,8,T:System.Drawing.Bitmap,,,,,internal static System.Drawing.Bitmap nerds_1
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Imaging\Imaging\Imaging.csproj,File,Imaging\Imaging\Properties\Settings.Designer.cs,15,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Imaging\Imaging\Imaging.csproj,File,Imaging\Imaging\Properties\Settings.Designer.cs,15,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Imaging\Imaging\Imaging.csproj,File,Imaging\Imaging\ImageCapture.cs,23,8,T:System.Windows.Media.Imaging.BitmapSource,,,,,"public static ImageCapture Build(BitmapSource image, CaptureType captureType)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Imaging\Imaging\Imaging.csproj,File,Imaging\Imaging\ImageCapture.cs,17,8,T:System.Windows.Media.Imaging.BitmapSource,,,,,"private ImageCapture(BitmapSource image, CaptureType captureType)          {              _image = image;              _captureType = captureType;          }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Imaging\Imaging\Imaging.csproj,File,Imaging\Imaging\ImageCapture.cs,19,12,T:System.Windows.Media.Imaging.BitmapSource,,,,,_image = image;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Imaging\Imaging\Imaging.csproj,File,Imaging\Imaging\ImageCapture.cs,15,36,T:System.Windows.Media.Imaging.BitmapSource,,,,,get { return _image; }
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Imaging\Imaging\Imaging.csproj,File,Imaging\Imaging\ImageCapture.cs,15,42,T:System.Windows.Media.Imaging.BitmapSource,,,,,return _image;
